start,end,text,speaker
00:00:30.000,00:00:32.000,1.5kg,UNKNOWN
00:00:44.000,00:00:46.000,1kg,UNKNOWN
00:00:46.000,00:00:48.000,1kg,UNKNOWN
00:00:48.000,00:00:50.000,1kg,UNKNOWN
00:00:50.000,00:00:52.000,1kg,UNKNOWN
00:00:52.000,00:00:54.000,1kg,UNKNOWN
00:00:54.000,00:00:56.000,1kg,UNKNOWN
00:00:56.000,00:00:58.000,1kg,UNKNOWN
00:00:58.000,00:00:59.000,1kg,UNKNOWN
00:00:59.000,00:01:01.000,1kg,UNKNOWN
00:01:01.000,00:01:03.000,1kg,UNKNOWN
00:01:03.000,00:01:05.000,1kg,UNKNOWN
00:01:07.000,00:01:09.000,1kg,UNKNOWN
00:01:09.000,00:01:11.000,1kg,UNKNOWN
00:01:11.000,00:01:13.000,1kg,UNKNOWN
00:01:15.000,00:01:17.000,1kg,UNKNOWN
00:01:17.000,00:01:19.000,1kg,UNKNOWN
00:01:19.000,00:01:21.000,2kg,UNKNOWN
00:01:21.000,00:01:23.000,2kg,UNKNOWN
00:01:23.000,00:01:25.000,1kg,UNKNOWN
00:01:25.000,00:01:27.000,"1,2,3",UNKNOWN
00:01:27.000,00:01:28.000,"1, 2, 3.",UNKNOWN
00:01:29.000,00:01:30.000,Go ahead.,UNKNOWN
00:01:31.000,00:01:32.000,"Shrek, come up there.",UNKNOWN
00:01:32.000,00:01:34.000,And the electric is about to be...,UNKNOWN
00:01:35.000,00:01:36.000,No guy.,UNKNOWN
00:01:38.000,00:01:39.000,Can we just...,UNKNOWN
00:01:39.000,00:01:41.000,"We're already 1, 2, 3.",UNKNOWN
00:01:41.000,00:01:42.000,Connector.,UNKNOWN
00:01:42.000,00:01:43.000,And the electric.,UNKNOWN
00:01:45.000,00:01:46.000,Take the light.,UNKNOWN
00:01:51.000,00:01:52.000,She's going for it.,UNKNOWN
00:01:52.000,00:01:54.000,I know you have to work with her.,UNKNOWN
00:01:54.000,00:01:57.000,Or I'll just keep y'all going on a minute and then we'll get those right.,UNKNOWN
00:01:57.000,00:01:59.000,You got three seconds to...,UNKNOWN
00:01:59.000,00:02:01.000,You got three chargers on that.,UNKNOWN
00:02:03.000,00:02:06.000,Three chargers are way better than the one you're going to get.,UNKNOWN
00:02:06.000,00:02:08.000,"You're going to get the next two, you're going to get the next one.",UNKNOWN
00:02:08.000,00:02:09.000,Okay.,UNKNOWN
00:02:09.000,00:02:12.000,Three chargers are way better than the one you're going to get.,UNKNOWN
00:02:12.000,00:02:14.000,We're back in the middle of that.,UNKNOWN
00:02:14.000,00:02:15.000,You get a eye joke.,UNKNOWN
00:02:15.000,00:02:16.000,And...,UNKNOWN
00:02:16.000,00:02:18.000,You get a eye joke.,UNKNOWN
00:02:18.000,00:02:20.000,You get a eye joke.,UNKNOWN
00:02:20.000,00:02:21.000,You do have one.,UNKNOWN
00:02:21.000,00:02:22.000,I get my dog out there.,UNKNOWN
00:02:22.000,00:02:23.000,"Okay, cool.",UNKNOWN
00:02:24.000,00:02:25.000,30 seconds.,UNKNOWN
00:02:25.000,00:02:26.000,40 seconds.,UNKNOWN
00:02:26.000,00:02:27.000,30 seconds.,UNKNOWN
00:02:27.000,00:02:29.000,"Oh, I got a dog out there.",UNKNOWN
00:02:29.000,00:02:31.000,I have a dog out there.,UNKNOWN
00:02:31.000,00:02:34.000,She's going to get that song reciprocated.,UNKNOWN
00:02:34.000,00:02:37.000,I'm going to get that song reciprocated.,UNKNOWN
00:02:37.000,00:02:39.000,"Alright, I'm going to free chargers.",UNKNOWN
00:02:39.000,00:02:41.000,Who's going to get a girl out there?,UNKNOWN
00:02:41.000,00:02:43.000,"I got it, I'm going to get the girl out there.",UNKNOWN
00:02:43.000,00:02:44.000,"Oh, no.",UNKNOWN
00:02:44.000,00:02:45.000,Keep going.,UNKNOWN
00:02:45.000,00:02:46.000,That's the story.,UNKNOWN
00:02:46.000,00:02:48.000,"Yeah, keep going.",UNKNOWN
00:02:48.000,00:02:50.000,"Alright, we're going to check in five seconds.",UNKNOWN
00:02:50.000,00:02:53.000,"Okay, so, three, two, one.",UNKNOWN
00:02:53.000,00:02:54.000,"Alright, close it.",UNKNOWN
00:02:54.000,00:02:55.000,Okay.,UNKNOWN
00:02:55.000,00:02:56.000,Okay.,UNKNOWN
00:02:56.000,00:02:57.000,"Yeah, okay.",UNKNOWN
00:02:57.000,00:02:58.000,14 seconds.,UNKNOWN
00:02:58.000,00:02:59.000,Okay.,UNKNOWN
00:02:59.000,00:03:00.000,Okay.,UNKNOWN
00:03:00.000,00:03:01.000,14 seconds.,UNKNOWN
00:03:01.000,00:03:02.000,"Okay, shut it.",UNKNOWN
00:03:02.000,00:03:04.000,"Get back on the bed, huh?",UNKNOWN
00:03:04.000,00:03:05.000,Alright.,UNKNOWN
00:03:05.000,00:03:07.000,You got that ready to go?,UNKNOWN
00:03:07.000,00:03:08.000,You're going to get it.,UNKNOWN
00:03:08.000,00:03:09.000,Okay.,UNKNOWN
00:03:09.000,00:03:11.000,"Alright, I'm going to go in.",UNKNOWN
00:03:11.000,00:03:13.000,Keep going.,UNKNOWN
00:03:13.000,00:03:15.000,I'm going to get that.,UNKNOWN
00:03:15.000,00:03:16.000,Okay.,UNKNOWN
00:03:16.000,00:03:18.000,I'm going to get that.,UNKNOWN
00:03:18.000,00:03:19.000,Okay.,UNKNOWN
00:03:19.000,00:03:20.000,I'm going to get that.,UNKNOWN
00:03:20.000,00:03:21.000,Okay.,UNKNOWN
00:03:21.000,00:03:22.000,Okay.,UNKNOWN
00:03:22.000,00:03:23.000,Okay.,UNKNOWN
00:03:23.000,00:03:24.000,"So, we...",UNKNOWN
00:03:24.000,00:03:25.000,"Get to late, right?",UNKNOWN
00:03:25.000,00:03:26.000,Yeah.,UNKNOWN
00:03:26.000,00:03:27.000,I just...,UNKNOWN
00:03:27.000,00:03:28.000,I just...,UNKNOWN
00:03:28.000,00:03:29.000,Thank you.,UNKNOWN
00:03:29.000,00:03:30.000,I just...,UNKNOWN
00:03:30.000,00:03:31.000,Get to late.,UNKNOWN
00:03:31.000,00:03:32.000,I got cast on your phone.,UNKNOWN
00:03:32.000,00:03:33.000,"Yeah, I tried to.",UNKNOWN
00:03:33.000,00:03:34.000,Yeah.,UNKNOWN
00:03:34.000,00:03:35.000,I just...,UNKNOWN
00:03:35.000,00:03:36.000,Get to late.,UNKNOWN
00:03:36.000,00:03:37.000,Get to late.,UNKNOWN
00:03:37.000,00:03:38.000,Okay.,UNKNOWN
00:03:38.000,00:03:39.000,Okay.,UNKNOWN
00:03:39.000,00:03:40.000,Okay.,UNKNOWN
00:03:40.000,00:03:41.000,Okay.,UNKNOWN
00:03:41.000,00:03:43.000,Get to late.,UNKNOWN
00:03:43.000,00:03:44.000,"So, I just...",UNKNOWN
00:03:44.000,00:03:45.000,I just...,UNKNOWN
00:03:45.000,00:03:46.000,"Get in, Tottle.",UNKNOWN
00:03:46.000,00:03:47.000,Okay.,UNKNOWN
00:03:47.000,00:03:49.000,Get to late.,UNKNOWN
00:03:49.000,00:03:50.000,I just secured.,UNKNOWN
00:03:50.000,00:03:51.000,Okay.,UNKNOWN
00:03:51.000,00:03:52.000,Thank you.,UNKNOWN
00:03:52.000,00:03:53.000,"I'm going up, Emily.",UNKNOWN
00:03:53.000,00:03:54.000,Okay.,UNKNOWN
00:03:54.000,00:03:55.000,You're going to go out.,UNKNOWN
00:03:55.000,00:03:56.000,You're going to go out.,UNKNOWN
00:03:56.000,00:03:57.000,Okay.,UNKNOWN
00:03:57.000,00:03:58.000,I'm going up.,UNKNOWN
00:03:58.000,00:03:59.000,Okay.,UNKNOWN
00:03:59.000,00:04:00.000,Okay.,UNKNOWN
00:04:00.000,00:04:01.000,Get that.,UNKNOWN
00:04:01.000,00:04:02.000,Okay.,UNKNOWN
00:04:02.000,00:04:03.000,Yeah.,UNKNOWN
00:04:03.000,00:04:04.000,You're going to go out.,UNKNOWN
00:04:04.000,00:04:05.000,I'm going to get that.,UNKNOWN
00:04:05.000,00:04:06.000,Yeah.,UNKNOWN
00:04:06.000,00:04:07.000,Get that.,UNKNOWN
00:04:07.000,00:04:08.000,I'm going to get that.,UNKNOWN
00:04:08.000,00:04:09.000,Yeah.,UNKNOWN
00:04:09.000,00:04:10.000,Get that.,UNKNOWN
00:04:10.000,00:04:11.000,Yeah.,UNKNOWN
00:04:11.000,00:04:12.000,Get that.,UNKNOWN
00:04:12.000,00:04:13.000,Get that late.,UNKNOWN
00:04:13.000,00:04:15.000,He's swapping out with me.,UNKNOWN
00:04:15.000,00:04:16.000,Yeah.,UNKNOWN
00:04:16.000,00:04:17.000,All right.,UNKNOWN
00:04:17.000,00:04:18.000,Get to late.,UNKNOWN
00:04:18.000,00:04:23.000,30 more seconds of compassion from that slow check.,UNKNOWN
00:04:23.000,00:04:24.000,Get to late.,UNKNOWN
00:04:24.000,00:04:25.000,Okay.,UNKNOWN
00:04:25.000,00:04:26.000,Oh.,UNKNOWN
00:04:26.000,00:04:27.000,Okay.,UNKNOWN
00:04:27.000,00:04:29.000,You can tell.,UNKNOWN
00:04:29.000,00:04:30.000,Get to late.,UNKNOWN
00:04:30.000,00:04:31.000,Okay.,UNKNOWN
00:04:31.000,00:04:32.000,You can tell.,UNKNOWN
00:04:32.000,00:04:33.000,Get to late.,UNKNOWN
00:04:33.000,00:04:34.000,Okay.,UNKNOWN
00:04:34.000,00:04:35.000,You can tell.,UNKNOWN
00:04:35.000,00:04:36.000,Okay.,UNKNOWN
00:04:36.000,00:04:37.000,Yeah.,UNKNOWN
00:04:37.000,00:04:38.000,I'm going to go out.,UNKNOWN
00:04:38.000,00:04:39.000,I'm going to go out.,UNKNOWN
00:04:39.000,00:04:40.000,Get to late.,UNKNOWN
00:04:40.000,00:04:41.000,Okay.,UNKNOWN
00:04:41.000,00:04:42.000,Get to late.,UNKNOWN
00:04:42.000,00:04:43.000,Okay.,UNKNOWN
00:04:43.000,00:04:45.000,You can tell.,UNKNOWN
00:04:45.000,00:04:46.000,Okay.,UNKNOWN
00:04:46.000,00:04:48.000,You're going to swap out and pass up.,UNKNOWN
00:04:48.000,00:04:49.000,Okay.,UNKNOWN
00:04:49.000,00:04:52.000,"5, 4, 3, 2, 1, pull steps.",UNKNOWN
00:04:52.000,00:04:53.000,Nope.,UNKNOWN
00:04:53.000,00:04:54.000,You're going to be hitting again.,UNKNOWN
00:04:54.000,00:04:55.000,Yeah.,UNKNOWN
00:04:55.000,00:04:56.000,I got hit again.,UNKNOWN
00:04:56.000,00:04:57.000,Hit it.,UNKNOWN
00:04:57.000,00:04:58.000,Yeah.,UNKNOWN
00:04:58.000,00:04:59.000,Hit it.,UNKNOWN
00:04:59.000,00:05:00.000,Hit it.,UNKNOWN
