start,end,text,speaker
00:00:00.000,00:00:02.000,"I want to look, please fire.",UNKNOWN
00:00:02.000,00:00:05.000,"I want to want to, my hands are having a harder time.",UNKNOWN
00:00:05.000,00:00:07.000,"Look, we're going to start CPR on the hem, okay?",UNKNOWN
00:00:07.000,00:00:09.000,I'm going to do what to do.,UNKNOWN
00:00:09.000,00:00:11.000,"Okay, are you going next to him?",UNKNOWN
00:00:11.000,00:00:12.000,Yeah.,UNKNOWN
00:00:12.000,00:00:13.000,Put a flat on the floor on his back.,UNKNOWN
00:00:13.000,00:00:14.000,Okay.,UNKNOWN
00:00:14.000,00:00:15.000,Expose his chest.,UNKNOWN
00:00:15.000,00:00:16.000,Expose his chest.,UNKNOWN
00:00:16.000,00:00:17.000,He'll buy his side.,UNKNOWN
00:00:17.000,00:00:18.000,Okay.,UNKNOWN
00:00:18.000,00:00:20.000,Okay.,UNKNOWN
00:00:20.000,00:00:26.000,Put the heel of your hand in the center of his chest right between the nibble.,UNKNOWN
00:00:26.000,00:00:27.000,Okay.,UNKNOWN
00:00:27.000,00:00:28.000,Okay.,UNKNOWN
00:00:28.000,00:00:31.000,"Push down firmly with only the heels of your hand, two inches, okay?",UNKNOWN
00:00:31.000,00:00:33.000,And do it 30 times like you're pumping the chest.,UNKNOWN
00:00:33.000,00:00:34.000,I don't know how to count.,UNKNOWN
00:00:34.000,00:00:35.000,I want to go this fast.,UNKNOWN
00:00:35.000,00:00:37.000,This fast is uncounting.,UNKNOWN
00:00:37.000,00:00:46.000,"One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15, 64, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30.",UNKNOWN
00:00:46.000,00:00:47.000,Start again.,UNKNOWN
00:00:47.000,00:01:15.000,"One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, five, 26, 27, 29, 30.",UNKNOWN
00:01:15.000,00:01:16.000,Start again.,UNKNOWN
00:01:16.000,00:01:35.000,"One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 16, 16, 17, 18, 19, 20, 21, 22, 22, 21, 26, 27, 27, 29, 30.",UNKNOWN
00:01:35.000,00:01:36.000,I know this is hard.,UNKNOWN
00:01:36.000,00:01:38.000,I want to take a deep breath.,UNKNOWN
00:01:38.000,00:01:59.000,"One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 21, 25, 26, 27, 28, 29, 30.",UNKNOWN
00:01:59.000,00:02:00.000,Start again.,UNKNOWN
00:02:00.000,00:02:20.000,"One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 18, 20, 15, 16, 18, 20, 20, 20, 20, 20, 20, 25, 20, 20, 20, 20, 20, 28, 29, 30.",UNKNOWN
00:02:20.000,00:02:22.000,"Does he breathing, moving or coughing at all?",UNKNOWN
00:02:22.000,00:02:23.000,"No, he's okay.",UNKNOWN
00:02:23.000,00:02:24.000,"Okay, just keep doing it.",UNKNOWN
00:02:24.000,00:02:25.000,Two inches deep.,UNKNOWN
00:02:25.000,00:02:26.000,Let's start again.,UNKNOWN
00:02:26.000,00:02:46.000,"One, two, three, four, five, six, seven, eight, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 20, 20, 20, 30.",UNKNOWN
00:02:46.000,00:02:47.000,Are they inside?,UNKNOWN
00:02:47.000,00:02:48.000,"Yes, they are.",UNKNOWN
00:02:48.000,00:02:49.000,Keep going.,UNKNOWN
00:02:49.560,00:02:57.860,"One two three, four, five, six, seven, eight, 19, 10, 11, 15, 18.",UNKNOWN
00:02:57.860,00:02:59.460,Weight and paramedics taken over.,UNKNOWN
00:02:59.460,00:03:00.360,Yes.,UNKNOWN
